Grade,Slug,Suggested_Tier,Reason,Selected(Y/N),Notes
A (반드시 수집),mugler,T3 승격,"Casey/Miguel 체제 — 파워숄더/바디콘 핵심. 셀럽 착용 폭발 (Zendaya, Chappell Roan)",,
A (반드시 수집),vetements,T3 승격,스트리트 럭셔리 원조. 트렌드 분석 필수 레퍼런스,,
A (반드시 수집),ambush,T3-T4,"Yoon Ahn — 나이키 콜라보, 스트리트×럭셔리 교차점. 일본/한국 시장 영향력",,
A (반드시 수집),luar,T3 승격,Raul Lopez — NYC 스트리트 핵심. Ana bag 바이럴. 2025 CFDA 수상,,
A (반드시 수집),area,T3 승격,크리스탈/글래머 → RTW 확장. 셀럽 레드카펫 필수,,
A (반드시 수집),willy-chavarria,T3 승격,"ANDAM 파이널리스트, 파리 데뷔. Adidas 콜라보",,
A (반드시 수집),attico,T3 승격,Gilda Ambrosio — 이탈리안 글래머/파티웨어. 인플루언서 브랜드 정점,,
A (반드시 수집),rhude,T3 승격,Rhuigi Villaseñor — LA 스트리트 럭셔리. LVMH Prize 후보,,
A (반드시 수집),erl,T3 승격,Eli Russell Linnetz — 캘리포니아 에스테틱. Dior Men 콜라보,,
A (반드시 수집),bally,T2 승격,Simone Bellotti 체제 — 스위스 럭셔리 리브랜딩,,
A (반드시 수집),giambattista-valli,T2 승격,쿠튀르+RTW — 레드카펫/여성복 핵심. 러플/볼륨 트렌드,,
A (반드시 수집),marques-almeida,T3 승격,LVMH Prize 수상 — 데님/해체 트렌드 원조. 서스테이너빌리티,,
A (반드시 수집),erdem,T3 승격,Erdem Moralioglu — 런던 여성복 핵심. 플로럴/로맨틱,,
A (반드시 수집),monse,T3,Oscar de la Renta 출신 듀오 — 해체 테일러링,,
A (반드시 수집),dunhill,T2 승격,영국 남성복 럭셔리 — 테일러링 트렌드 참고,,
A (반드시 수집),ermenegildo-zegna,T2 승격,이탈리아 남성복 정점 — 소재/테일러링 기준,,
A (반드시 수집),comme-des-garcons-homme-plus,T4,CDG 남성 라인 — CDG 수집 중이나 별도 라인,,
A (반드시 수집),magliano,T3 승격,이탈리아 신진 — 밀라노 남성복 주목주,,
A (반드시 수집),kidsuper,T3 승격,Colm Dillane — 아트×패션. Louis Vuitton 콜라보,,
B (선택적),batsheva,B,프레리 드레스/모디스트 패션 — 니치 트렌드 추적,,
B (선택적),jason-wu,B,NYC 여성복 — 미셸 오바마 등 셀럽 연결,,
B (선택적),simon-miller,B,미니멀 캘리포니아 — 차분한 트렌드,,
B (선택적),holzweiler,B,노르딕 컨템포러리 — 스칸디 트렌드,,
B (선택적),kolor,B (T4 가능),일본 남성복 — 일본 디자이너 카테고리 승격 가능,,
B (선택적),toga,B (T4 가능),일본 여성복 — 이미 T4에 있어야 하나 slug 확인 필요,,
B (선택적),officine-generale,B,프렌치 캐주얼 — 에센셜/미니멀 남성복,,
B (선택적),diane-von-furstenberg,B,랩드레스 레전드 — 여성복 아카이브 가치,,
B (선택적),tiger-of-sweden,B,스칸디 테일러링 — 슈트/오피스웨어,,
B (선택적),maryam-nassir-zadeh,B,NYC 인디 — 인플루언서 컬트 브랜드,,
B (선택적),puppets-and-puppets,B,NYC 신진 — 아방가르드/아트,,
B (선택적),atlein,B,파리 지속가능 — 져지/드레이프 전문,,
B (선택적),comme-des-garcons-shirt,B,CDG 셔츠 라인 — CDG 서브 라인,,
B (선택적),all-in,B,August Barron으로 리브랜딩 — Dua Lipa 등 셀럽 착용,,
